provider,category,product,service_type,region_code,region_name,sku_or_plan,cpu_vcpu,memory_gb,storage_gb,gpu,price_amount,price_unit,currency,billing_basis,notes,source_url,fetched_at
AWS,cloud_major,Amazon EC2,vm,ap-southeast-1,Asia Pacific Singapore,t4g.micro,2,1,,none,,hour,USD,on_demand_linux,Additional Graviton burstable VM sample; query AWS Price List API for exact active price.,https://docs.aws.amazon.com/awsaccountbilling/latest/aboutv2/using-price-list-query-api.html,2026-05-11
AWS,cloud_major,Amazon EC2,vm,ap-southeast-1,Asia Pacific Singapore,t4g.small,2,2,,none,,hour,USD,on_demand_linux,Additional Graviton burstable VM sample; query AWS Price List API for exact active price.,https://aws.amazon.com/ec2/pricing/on-demand/,2026-05-11
AWS,cloud_major,Amazon EC2,vm,ap-southeast-1,Asia Pacific Singapore,m7g.medium,1,4,,none,,hour,USD,on_demand_linux,"General purpose Graviton VM sample; price varies by OS, tenancy, and region.",https://docs.aws.amazon.com/awsaccountbilling/latest/aboutv2/price-changes.html,2026-05-11
AWS,cloud_major,Amazon EC2,vm,ap-southeast-1,Asia Pacific Singapore,m7g.large,2,8,,none,,hour,USD,on_demand_linux,General purpose Graviton VM sample for scalable app/backend workloads; query pricing API for exact active rate.,https://docs.aws.amazon.com/awsaccountbilling/latest/aboutv2/using-price-list-query-api.html,2026-05-11
AWS,cloud_major,Amazon EC2,vm,ap-southeast-1,Asia Pacific Singapore,c7g.large,2,4,,none,,hour,USD,on_demand_linux,Compute optimized Graviton VM sample; query Price List API for exact price.,https://aws.amazon.com/ec2/pricing/on-demand/,2026-05-11
AWS,cloud_major,Amazon EC2,vm,ap-southeast-1,Asia Pacific Singapore,r7g.large,2,16,,none,,hour,USD,on_demand_linux,Memory optimized Graviton VM sample; query Price List API for exact price.,https://docs.aws.amazon.com/awsaccountbilling/latest/aboutv2/price-changes.html,2026-05-11
AWS,cloud_major,Amazon ECS on Fargate,container,ap-southeast-1,Asia Pacific Singapore,0.5vCPU-1GB,0.5,1,,none,,vCPU-hour + GB-hour,USD,on_demand,Fargate bills vCPU and memory independently; check pricing API for exact regional rate.,https://docs.aws.amazon.com/awsaccountbilling/latest/aboutv2/price-changes.html,2026-05-11
AWS,cloud_major,Amazon ECS on Fargate,container,ap-southeast-1,Asia Pacific Singapore,1vCPU-2GB,1,2,,none,,vCPU-hour + GB-hour,USD,on_demand,Fargate container sample for small production services; check pricing API for exact rate.,https://docs.aws.amazon.com/awsaccountbilling/latest/aboutv2/using-price-list-query-api.html,2026-05-11
AWS,cloud_major,AWS Lambda,serverless_function,ap-southeast-1,Asia Pacific Singapore,1GB-memory,,1,,none,,GB-second + request,USD,on_demand,Lambda pricing is memory-duration plus requests; query AWS Price List API for exact regional rate.,https://docs.aws.amazon.com/awsaccountbilling/latest/aboutv2/price-changes.html,2026-05-11
Azure,cloud_major,Azure Virtual Machines,vm,southeastasia,Southeast Asia,Standard_B1ms,1,2,,none,0.0264,hour,USD,consumption_linux,Retail Prices API sample for Linux BS Series in southeastasia.,https://learn.microsoft.com/en-us/rest/api/cost-management/retail-prices/azure-retail-prices,2026-05-11
Azure,cloud_major,Azure Virtual Machines,vm,southeastasia,Southeast Asia,Standard_B2ms,2,8,,none,0.106,hour,USD,consumption_linux,Retail Prices API sample for Linux BS Series in southeastasia.,https://learn.microsoft.com/en-us/rest/api/cost-management/retail-prices/azure-retail-prices,2026-05-11
Azure,cloud_major,Azure Virtual Machines,vm,southeastasia,Southeast Asia,Standard_B4ms,4,16,,none,0.211,hour,USD,consumption_linux,Retail Prices API sample for Linux BS Series in southeastasia.,https://learn.microsoft.com/en-us/rest/api/cost-management/retail-prices/azure-retail-prices,2026-05-11
Azure,cloud_major,Azure Virtual Machines,vm,southeastasia,Southeast Asia,Standard_D4s_v5,4,16,,none,0.24,hour,USD,consumption_linux,Retail Prices API sample for Linux Dsv5 Series in southeastasia.,https://learn.microsoft.com/en-us/rest/api/cost-management/retail-prices/azure-retail-prices,2026-05-11
Azure,cloud_major,Azure Virtual Machines,vm,southeastasia,Southeast Asia,Standard_F2s_v2,2,4,,none,0.098,hour,USD,consumption_linux,Retail Prices API sample for Linux FSv2 Series in southeastasia.,https://learn.microsoft.com/en-us/rest/api/cost-management/retail-prices/azure-retail-prices,2026-05-11
Azure,cloud_major,Azure Virtual Machines,vm,southeastasia,Southeast Asia,Standard_F4s_v2,4,8,,none,0.196,hour,USD,consumption_linux,Retail Prices API sample for Linux FSv2 Series in southeastasia.,https://learn.microsoft.com/en-us/rest/api/cost-management/retail-prices/azure-retail-prices,2026-05-11
GCP,cloud_major,Compute Engine,vm,asia-southeast2,Jakarta,e2-medium,2,4,,none,,hour,USD,on_demand_linux,E2 shared-core deploy sample; price available via pricing API/table.,https://cloud.google.com/compute/docs/general-purpose-machines,2026-05-11
GCP,cloud_major,Compute Engine,vm,asia-southeast2,Jakarta,n2-standard-2,2,8,,none,,hour,USD,on_demand_linux,N2 general-purpose VM sample; use Cloud Billing Pricing API for SKU price.,https://cloud.google.com/billing/docs/reference/pricing-api/rest,2026-05-11
GCP,cloud_major,Compute Engine,vm,asia-southeast2,Jakarta,n2-standard-4,4,16,,none,,hour,USD,on_demand_linux,N2 general-purpose VM sample for larger backend workloads; check official pricing table/API.,https://cloud.google.com/compute/all-pricing,2026-05-11
GCP,cloud_major,Compute Engine,vm,asia-southeast2,Jakarta,c3-standard-4,4,16,,none,,hour,USD,on_demand_linux,C3 compute-optimized VM sample; price available via official pricing table/API.,https://cloud.google.com/compute/all-pricing,2026-05-11
GCP,cloud_major,Cloud Run,container,asia-southeast2,Jakarta,1vCPU-512MiB,1,0.5,,none,,vCPU-second + GiB-second,USD,usage_based,"Cloud Run bills CPU, memory, requests, and networking; exact regional rates are in Cloud Billing pricing data.",https://cloud.google.com/billing/docs/reference/pricing-api/rest,2026-05-11
GCP,cloud_major,Cloud Run,container,asia-southeast2,Jakarta,1vCPU-2GiB,1,2,,none,,vCPU-second + GiB-second,USD,usage_based,Container deployment sample for small web APIs; check Cloud Billing pricing API for exact rate.,https://cloud.google.com/billing/docs/reference/pricing-api/rest,2026-05-11
GCP,cloud_major,Cloud Run,container,asia-southeast2,Jakarta,2vCPU-4GiB,2,4,,none,,vCPU-second + GiB-second,USD,usage_based,Container deployment sample for moderate API workloads; check Cloud Billing pricing API for exact rate.,https://cloud.google.com/billing/docs/reference/pricing-api/rest,2026-05-11
DigitalOcean,cloud_major,Droplets,vm,sgp1,Singapore,s-1vcpu-512mb,1,0.5,10,none,0.00595,hour,USD,on_demand,Basic shared CPU Droplet; official page notes per-second billing from 2026 with minimums.,https://www.digitalocean.com/pricing/droplets,2026-05-11
DigitalOcean,cloud_major,Droplets,vm,sgp1,Singapore,s-1vcpu-2gb,1,2,50,none,0.01786,hour,USD,on_demand,Basic shared CPU Droplet for small apps with more RAM.,https://www.digitalocean.com/pricing/droplets,2026-05-11
DigitalOcean,cloud_major,Droplets,vm,sgp1,Singapore,s-2vcpu-4gb,2,4,80,none,0.03571,hour,USD,on_demand,Basic shared CPU Droplet deploy sample.,https://www.digitalocean.com/pricing/droplets,2026-05-11
DigitalOcean,cloud_major,Droplets,vm,sgp1,Singapore,s-4vcpu-8gb,4,8,160,none,0.07143,hour,USD,on_demand,Basic shared CPU Droplet for larger web/backend apps.,https://www.digitalocean.com/pricing/droplets,2026-05-11
DigitalOcean,cloud_major,Droplets,vm,sgp1,Singapore,c-2,2,4,25,none,0.0625,hour,USD,on_demand,CPU-Optimized regular Droplet.,https://www.digitalocean.com/pricing/droplets,2026-05-11
DigitalOcean,cloud_major,Droplets,vm,sgp1,Singapore,c-4,4,8,50,none,0.125,hour,USD,on_demand,CPU-Optimized regular Droplet.,https://www.digitalocean.com/pricing/droplets,2026-05-11
DigitalOcean,cloud_major,Droplets,vm,sgp1,Singapore,g-4vcpu-16gb,4,16,50,none,0.1875,hour,USD,on_demand,General Purpose dedicated CPU Droplet.,https://www.digitalocean.com/pricing/droplets,2026-05-11
Alibaba,cloud_major,Elastic Compute Service,vm,ap-southeast-1,Singapore,ecs.c6.large,2,4,,none,,hour,USD,pay_as_you_go,Compute-optimized ECS sample; use official pricing module/DescribePrice for exact active price.,https://www.alibabacloud.com/help/doc-detail/472926.html,2026-05-11
Alibaba,cloud_major,Elastic Compute Service,vm,ap-southeast-1,Singapore,ecs.g6.large,2,8,,none,,hour,USD,pay_as_you_go,"General-purpose ECS sample; pricing can vary by zone, OS, disk, and network.",https://www.alibabacloud.com/help/doc-detail/472926.html,2026-05-11
Alibaba,cloud_major,Elastic Compute Service,vm,ap-southeast-1,Singapore,ecs.r6.large,2,16,,none,,hour,USD,pay_as_you_go,Memory-optimized ECS sample; query price before deployment.,https://www.alibabacloud.com/help/doc-detail/472926.html,2026-05-11
Alibaba,cloud_major,Elastic Compute Service,vm,ap-southeast-1,Singapore,ecs.g7.xlarge,4,16,,none,,hour,USD,pay_as_you_go,Larger general-purpose ECS sample for scalable workloads; check official pricing module/API.,https://www.alibabacloud.com/help/doc-detail/472926.html,2026-05-11
Tencent,cloud_major,Cloud Virtual Machine,vm,ap-singapore,Singapore,S6.SMALL1,1,1,,none,,hour,USD,pay_as_you_go,Standard CVM sample; verify current pricing in Tencent calculator/console.,https://intl.cloud.tencent.com/document/product/213/15688?lang=en,2026-05-11
Tencent,cloud_major,Cloud Virtual Machine,vm,ap-singapore,Singapore,S6.MEDIUM2,2,2,,none,,hour,USD,pay_as_you_go,"Standard CVM sample; exact price depends on region, image, disk, and billing mode.",https://cloud.tencent.com/document/product/213/15730,2026-05-11
Tencent,cloud_major,Cloud Virtual Machine,vm,ap-singapore,Singapore,S6.LARGE4,2,4,,none,,hour,USD,pay_as_you_go,Standard CVM sample for small production backends; verify active pricing in Tencent calculator/console.,https://intl.cloud.tencent.com/document/product/213/15688?lang=en,2026-05-11
Tencent,cloud_major,Cloud Virtual Machine,vm,ap-singapore,Singapore,S6.LARGE8,4,8,,none,,hour,USD,pay_as_you_go,Standard CVM sample for larger backend workloads; verify active pricing in Tencent calculator/console.,https://cloud.tencent.com/document/product/213/15730,2026-05-11
Modal.com,ml_best,Modal Serverless,serverless_gpu,global,Global,Nvidia T4,,16,,T4,0.000164,gpu-second,USD,usage_based,GPU task price only; CPU and memory charges may also apply.,https://modal.com/pricing,2026-05-11
Modal.com,ml_best,Modal Serverless,serverless_gpu,global,Global,Nvidia A10,,24,,A10,0.000306,gpu-second,USD,usage_based,A10 GPU task price for inference/training workloads.,https://modal.com/pricing,2026-05-11
Modal.com,ml_best,Modal Serverless,serverless_gpu,global,Global,Nvidia L40S,,48,,L40S,0.000542,gpu-second,USD,usage_based,L40S GPU task price for larger inference/image workloads.,https://modal.com/pricing,2026-05-11
Modal.com,ml_best,Modal Serverless,serverless_gpu,global,Global,Nvidia A100 80GB,,80,,A100,0.000694,gpu-second,USD,usage_based,A100 80GB GPU task price.,https://modal.com/pricing,2026-05-11
Modal.com,ml_best,Modal Serverless,serverless_gpu,global,Global,Nvidia B200,,192,,B200,0.001736,gpu-second,USD,usage_based,B200 GPU task price; availability can vary.,https://modal.com/pricing,2026-05-11
Hugging Face,ml_best,Inference Endpoints,dedicated_endpoint,aws,Provider AWS,aws-cpu-x2,2,4,,none,0.07,hour,USD,dedicated_endpoint,Dedicated CPU endpoint; prices are shown hourly and billed by minute.,https://huggingface.co/pricing,2026-05-11
Hugging Face,ml_best,Inference Endpoints,dedicated_endpoint,aws,Provider AWS,aws-cpu-x4,4,8,,none,0.13,hour,USD,dedicated_endpoint,Dedicated CPU endpoint sample.,https://huggingface.co/pricing,2026-05-11
Hugging Face,ml_best,Inference Endpoints,dedicated_endpoint,aws,Provider AWS,aws-cpu-x8,8,16,,none,0.27,hour,USD,dedicated_endpoint,Dedicated CPU endpoint sample.,https://huggingface.co/pricing,2026-05-11
Hugging Face,ml_best,Inference Endpoints,dedicated_endpoint,gcp,Provider GCP,gcp-cpu-x1,1,2,,none,0.05,hour,USD,dedicated_endpoint,Dedicated CPU endpoint on GCP provider.,https://huggingface.co/pricing,2026-05-11
Hugging Face,ml_best,Inference Endpoints,dedicated_endpoint,gcp,Provider GCP,gcp-cpu-x2,2,4,,none,0.10,hour,USD,dedicated_endpoint,Dedicated CPU endpoint on GCP provider.,https://huggingface.co/docs/inference-endpoints/en/pricing,2026-05-11
Hugging Face,ml_best,Inference Endpoints,dedicated_endpoint,aws,Provider AWS,Nvidia A10G small,4,15,,A10G,1.00,hour,USD,dedicated_endpoint,GPU endpoint sample from Hugging Face pricing.,https://huggingface.co/pricing,2026-05-11
Hugging Face,ml_best,Inference Endpoints,dedicated_endpoint,aws,Provider AWS,Nvidia L4,8,30,,L4,0.80,hour,USD,dedicated_endpoint,GPU endpoint sample from Hugging Face pricing.,https://huggingface.co/pricing,2026-05-11
Hugging Face,ml_best,Inference Endpoints,dedicated_endpoint,aws,Provider AWS,4x Nvidia A100,48,568,,A100 x4,10.00,hour,USD,dedicated_endpoint,Multi-GPU endpoint sample from Hugging Face pricing.,https://huggingface.co/pricing,2026-05-11
Replicate,ml_best,Replicate Deployments,model_endpoint,global,Global,gpu-t4,4,16,,T4,0.000225,second,USD,usage_based,Official hardware pricing; billed per second.,https://replicate.com/pricing,2026-05-11
Replicate,ml_best,Replicate Deployments,model_endpoint,global,Global,gpu-l40s,10,65,,L40S,0.000975,second,USD,usage_based,Official hardware pricing for single L40S.,https://replicate.com/pricing,2026-05-11
Replicate,ml_best,Replicate Deployments,model_endpoint,global,Global,gpu-l40s-2x,20,144,,L40S x2,0.00195,second,USD,usage_based,Official hardware pricing for 2x L40S.,https://replicate.com/pricing,2026-05-11
Replicate,ml_best,Replicate Deployments,model_endpoint,global,Global,gpu-a100-large,10,144,,A100 80GB,0.0014,second,USD,usage_based,Official hardware pricing for A100 80GB.,https://replicate.com/pricing,2026-05-11
Replicate,ml_best,Replicate Deployments,model_endpoint,global,Global,gpu-a100-large-2x,20,288,,A100 80GB x2,0.0028,second,USD,usage_based,Official hardware pricing for 2x A100 80GB.,https://replicate.com/pricing,2026-05-11
Replicate,ml_best,Replicate Deployments,model_endpoint,global,Global,gpu-h100-2x,26,144,,H100 x2,0.00305,second,USD,usage_based,Official hardware pricing for 2x H100.,https://replicate.com/pricing,2026-05-11
Neon,database,Neon Postgres,postgres,global,Global,Extra compute hour,1,4,,none,0.16,compute-hour,USD,usage_based,Neon docs list extra compute at 0.16 USD per compute hour.,https://neon.com/docs/introduction/pricing-estimation-guide,2026-05-11
Neon,database,Neon Postgres,postgres,global,Global,Launch minimum,,,,none,5,month,USD,subscription_minimum,Usage-based plan with monthly minimum; verify current plan details on pricing page.,https://neon.com/blog/new-usage-based-pricing,2026-05-11
Neon,database,Neon Postgres,postgres,global,Global,Scale CU-hour,1,4,,none,0.26,CU-hour,USD,usage_based,Scale compute is listed at 0.26 USD per CU-hour in Neon pricing explanation.,https://neon.com/blog/new-usage-based-pricing,2026-05-11
Supabase,database,Supabase Postgres,postgres,global,Global,Medium,2,4,100,none,60,month,USD,compute_addon,Dedicated Postgres compute add-on; official pricing lists about 60 USD/month.,https://supabase.com/pricing,2026-05-11
Supabase,database,Supabase Postgres,postgres,global,Global,XL,4,16,1000,none,210,month,USD,compute_addon,Larger dedicated Postgres compute add-on.,https://supabase.com/pricing,2026-05-11
Supabase,database,Supabase Postgres,postgres,global,Global,2XL,8,32,1000,none,410,month,USD,compute_addon,Dedicated Postgres compute add-on.,https://supabase.com/pricing,2026-05-11
Supabase,database,Supabase Postgres,postgres,global,Global,4XL,16,64,1000,none,960,month,USD,compute_addon,Dedicated Postgres compute add-on.,https://supabase.com/pricing,2026-05-11
Supabase,database,Supabase Postgres,postgres,global,Global,8XL,32,128,1000,none,1870,month,USD,compute_addon,Dedicated Postgres compute add-on.,https://supabase.com/pricing,2026-05-11
Supabase,database,Supabase Postgres,postgres,global,Global,12XL,48,192,1000,none,2800,month,USD,compute_addon,Dedicated Postgres compute add-on.,https://supabase.com/pricing,2026-05-11
Supabase,database,Supabase Postgres,postgres,global,Global,16XL,64,256,1000,none,3730,month,USD,compute_addon,Largest listed fixed compute add-on before custom sizing.,https://supabase.com/pricing,2026-05-11
